text,intent
Mở bài hát của Sơn Tùng cho tôi,mo_nhac
Bật bài hát yêu thích đi,mo_nhac
Phát nhạc của Chi Pu,mo_nhac
Mở bài hát gần đây tôi hay nghe,mo_nhac
Bật nhạc champion league sau 15 phút nữa,mo_nhac
Phát nhạc trên spotify ,mo_nhac
tôi muốn nghe nhạc,mo_nhac
Phát nhạc khi nấu ăn,mo_nhac
Bật bài hát của Mozart cho tôi,mo_nhac
Chuyển sang bài hát tiếp theo,mo_nhac
Chuyển bài hát nào vui hơn,mo_nhac
Bật bài hát ngẫu nhiên trên Youtube,mo_nhac
Mở album mới của Blackpink hoặc BTS,mo_nhac
Chơi ca khúc mới nhất của Twice,mo_nhac
Mở bài hát mới ra chiều nay của ca sĩ yêu thích của mình,mo_nhac
Tôi muốn nghe nhạc của ca sĩ Trung Quân,mo_nhac
lặp lại bài hát này,mo_nhac
chuyển bài nào sôi động hơn đi,mo_nhac
Chuyển bài hát phía trước,mo_nhac
Bật ngẫu nhiên 1 bài trên spotify,mo_nhac
Mở list nhạc top 10 Billboard tuần qua,mo_nhac
Giới thiệu tôi vài ca khúc trữ tình,mo_nhac
Mở bài Giấc Mơ Trưa,mo_nhac
Mở nhạc giao hưởng,mo_nhac
Mở nhạc thính phòng,mo_nhac
Chơi nhạc không lời,mo_nhac
Chơi nhạc của Đồng Lệ,mo_nhac
Mở tiếng mưa rơi,mo_nhac
Mở nhạc Noel,mo_nhac
Mở nhạc tết,mo_nhac
Mở nhạc năm mới,mo_nhac
Mở bài nào sôi động đi,mo_nhac
Chơi bài nào nhẹ nhàng hơn đi,mo_nhac
Tìm bài hát cho thiếu nhi,mo_nhac
Tìm bài hát nào đang phổ biến gần đây,mo_nhac
Tìm nhạc Jazz,mo_nhac
Tìm playlist của Sơn Tùng,mo_nhac
Phát nhạc cà phê sáng,mo_nhac
mở podcasts nào,mo_nhac
đón ngày mới với một playlist tươi tỉnh nào,mo_nhac
nhạc thiếu nhi,mo_nhac
mở tuyển tập nhạc mùa thu,mo_nhac
phát tuyển tập nhạc mùa thu,mo_nhac
chơi tuyển tập nhạc mùa thu,mo_nhac
có bài hát nào về Hà Nội không?,mo_nhac
phát lại bài vừa rồi,mo_nhac
chơi lại bài hát vừa rồi,mo_nhac
tìm nhạc hòa tấu ,mo_nhac
kiếm bài nào chill đi,mo_nhac
mở bài nào đễ ngủ đi,mo_nhac
Mờ bài Nàng thơ,mo_nhac
mở ngày tết quê em,mo_nhac
mở nhạc buồn cho tâm trạng,mo_nhac
mở nhạc đang hot tiktok,mo_nhac
chơi nhạc remix sôi động,mo_nhac
Phát bài nhạc cùng thể loại sau khi kết thúc bài hát này,mo_nhac
Phát bài hát cùng nghệ sĩ với bài này,mo_nhac
Bật nhạc piano để tập trung,mo_nhac
Bật bài hát sôi động khi lái xe,mo_nhac
Mở Dynamite của BTS,mo_nhac
Bật bài Glory Glory Man United,mo_nhac
Mở playlist nhạc hay nhất của IU,mo_nhac
Mở nhạc dành cho người già,mo_nhac
Mở nhạc đỏ,mo_nhac
Phát những bài nhạc vàng nổi tiếng,mo_nhac
Mở video top trending trên TikTok tuần qua,mo_nhac
Mở video top trending tại Việt Nam trên Youtube tuần qua,mo_nhac
Phát bài hát của tôi,mo_nhac
Phát bài hát mà tôi hay nghe,mo_nhac
Phát nhạc nào,mo_nhac
Phát bài nhạc mà tôi yêu thích,mo_nhac
Hãy phát bài hát mà tôi yêu thích,mo_nhac
Hãy bật dùm tôi một bài nhạc trịnh,mo_nhac
Hãy kiếm dùm tôi một bài nhạc vàng,mo_nhac
Cho tôi một tí âm nhạc,mo_nhac
Nổi nhạc lên nào,mo_nhac
Cho tôi tí âm thanh với,mo_nhac
Cho tôi xin bài hát nổi nhất dạo gần đây ,mo_nhac
Cho tôi nghe tí âm thanh thiên nhiên,mo_nhac
Hãy gợi ý cho tôi một số bài nhạc trữ tình,mo_nhac
Hãy bật bản nhạc mà tôi hay nghe,mo_nhac
Cho bật bài nhạc của tôi,mo_nhac
Tôi muốn nghe nhạc,mo_nhac
